Name,Tags,Server end time,File name,Duration,User Name,lr,seed,MAPE,Loss,hidden_2,Epochs,train_loss,R2,Validation Loss
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001__noscheduler,,1781554057133,Jupyter interactive,109,mikhail-nedosekin,0.001,42,,0.2877400815486908,,,0.31791317004423875,,0.19426884750525156
mlp__norm-batch__d0.3__512-256-128__adam__lr0.0001,,1781553946814,Jupyter interactive,106,mikhail-nedosekin,1.0E-4,42,,0.5198823809623718,,,0.7014242124098998,,0.34325915078322095
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,,1781553839564,Jupyter interactive,105,mikhail-nedosekin,0.001,42,,0.2801324129104614,,,0.31631423991460067,,0.1956058864792188
mlp__norm-batch__d0.3__512-256-128__adam__lr0.01,,1781553732737,Jupyter interactive,104,mikhail-nedosekin,0.01,42,,0.23585054278373718,,,0.22122871589202148,,0.21294692158699036
mlp__norm-batch__d0.3__512-256-128__sgd__lr0.001,,1781553626897,Jupyter interactive,104,mikhail-nedosekin,0.001,42,,0.310729444026947,,,0.3516583935572551,,0.4017809083064397
mlp__norm-batch__d0.3__512-256-128__adamw__lr0.001,,1781553521542,Jupyter interactive,110,mikhail-nedosekin,0.001,42,,0.2802584171295166,,,0.349239992407652,,0.20613004763921103
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,,1781553410215,Jupyter interactive,103,mikhail-nedosekin,0.001,42,,0.2801324129104614,,,0.31631423991460067,,0.1956058864792188
mlp__norm-batch__d0.3__1024-512-256__adam__lr0.001,,1781553306160,Jupyter interactive,187,mikhail-nedosekin,0.001,42,,0.18068690598011017,,,0.19634177134587213,,0.2052506481607755
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,,1781553117731,Jupyter interactive,106,mikhail-nedosekin,0.001,42,,0.2801324129104614,,,0.31631423991460067,,0.1956058864792188
mlp__norm-batch__d0.3__512-256__adam__lr0.001,,1781553009949,Jupyter interactive,96,mikhail-nedosekin,0.001,42,,0.27845314145088196,,,0.26723239628168255,,0.30813952287038165
mlp__norm-batch__d0.3__256__adam__lr0.001,,1781552912652,Jupyter interactive,64,mikhail-nedosekin,0.001,42,,0.5098307728767395,,,0.5056714702111024,,0.47538961966832477
mlp__norm-batch__d0.5__512-256-128__adam__lr0.001,,1781552846805,Jupyter interactive,114,mikhail-nedosekin,0.001,42,,0.38607245683670044,,,0.48785382279982936,,0.21133994807799658
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,,1781552730941,Jupyter interactive,103,mikhail-nedosekin,0.001,42,,0.2801324129104614,,,0.31631423991460067,,0.1956058864792188
mlp__norm-batch__d0.1__512-256-128__adam__lr0.001,,1781552627017,Jupyter interactive,103,mikhail-nedosekin,0.001,42,,0.14156249165534973,,,0.12981933842484766,,0.20021651685237885
mlp__norm-batch__d0.0__512-256-128__adam__lr0.001,,1781552522881,Jupyter interactive,86,mikhail-nedosekin,0.001,42,,0.01369042880833149,,,0.01499484538530501,,0.22017093996206918
mlp__norm-layer__d0.3__512-256-128__adam__lr0.001,,1781552435476,Jupyter interactive,103,mikhail-nedosekin,0.001,42,,0.28009915351867676,,,0.29704709293750614,,0.1943214957912763
mlp__norm-batch__d0.3__512-256-128__adam__lr0.001,,1781552330567,Jupyter interactive,100,mikhail-nedosekin,0.001,42,,0.2801324129104614,,,0.31631423991460067,,0.1956058864792188
mlp__norm-none__d0.3__512-256-128__adam__lr0.001,,1781552228513,Jupyter interactive,108,mikhail-nedosekin,0.001,42,,0.5580989718437195,,,0.6220506876707077,,0.4330974320570628
mlp_v3_1024_relu_adam_lr0.0001_100ep,,1781474546243,Jupyter interactive,69,mikhail-nedosekin,1.0E-4,42,,1.7135655879974365,,,1.8392546314459581,,2.3616873820622764
mlp_v3_1024_relu_adam_lr0.001_100ep,,1781474476405,Jupyter interactive,65,mikhail-nedosekin,0.001,42,,0.025792496278882027,,,0.02741299132601573,,0.210886520644029
mlp_v3_1024_relu_adam_lr0.01_100ep,,1781474409802,Jupyter interactive,60,mikhail-nedosekin,0.01,42,,0.031114768236875534,,,0.02636941898470888,,0.21921875327825546
mlp_v2_512_relu_adam_lr0003_dropout0.5_100ep,,1781474347931,Jupyter interactive,70,mikhail-nedosekin,3.0E-4,42,,0.18515220284461975,,,0.15420096654158372,,0.22873964409033457
mlp_v2_512_relu_adam_lr0003_dropout0.4_100ep,,1781474276366,Jupyter interactive,63,mikhail-nedosekin,3.0E-4,42,,0.0993364229798317,,,0.10828765395742196,,0.2163950353860855
mlp_v2_512_relu_adam_lr0003_dropout0.3_100ep,,1781474211659,Jupyter interactive,69,mikhail-nedosekin,3.0E-4,42,,0.06278640031814575,,,0.08252611226187302,,0.23069541404644647
mlp_v2_512_relu_adam_lr0003_dropout0.2_100ep,,1781474141844,Jupyter interactive,59,mikhail-nedosekin,3.0E-4,42,,0.04284905269742012,,,0.06455562235071109,,0.22458447764317194